location,max_days
Afghanistan,11
Albania,1
Algeria,5
Andorra,24
Angola,9
Anguilla,234
Antigua and Barbuda,29
Argentina,2
Armenia,10
Aruba,54
Australia,21
Austria,1
Azerbaijan,3
Bahamas,21
Bahrain,2
Bangladesh,6
Barbados,19
Belarus,5
Belgium,25
Belize,52
Benin,12
Bermuda,17
Bhutan,18
Bolivia,2
Bonaire Sint Eustatius and Saba,118
Bosnia and Herzegovina,7
Botswana,12
Brazil,3
British Virgin Islands,81
Brunei,91
Bulgaria,2
Burkina Faso,12
Burundi,14
Cambodia,40
Cameroon,16
Canada,9
Cape Verde,6
Cayman Islands,36
Central African Republic,13
Chad,30
Chile,6
China,3
Colombia,3
Comoros,10
Congo,18
Cook Islands,195
Costa Rica,6
Cote d'Ivoire,5
Croatia,5
Cuba,3
Curacao,28
Cyprus,5
Czechia,4
Democratic Republic of Congo,5
Denmark,2
Djibouti,6
Dominica,80
Dominican Republic,5
Ecuador,3
Egypt,15
El Salvador,13
Equatorial Guinea,28
Eritrea,52
Estonia,4
Eswatini,9
Ethiopia,8
Faeroe Islands,72
Falkland Islands,200
Fiji,75
Finland,12
France,9
French Polynesia,53
Gabon,5
Gambia,12
Georgia,3
Germany,13
Ghana,12
Gibraltar,19
Greece,4
Greenland,75
Grenada,73
Guatemala,1
Guernsey,0
Guinea,10
Guinea-Bissau,13
Guyana,5
Haiti,5
Honduras,19
Hong Kong,5
Hungary,3
Iceland,7
India,27
Indonesia,3
Iran,0
Iraq,2
Ireland,2
Isle of Man,108
Israel,4
Italy,13
Jamaica,3
Japan,3
Jersey,0
Jordan,11
Kazakhstan,2
Kenya,3
Kiribati,242
Kosovo,10
Kuwait,2
Kyrgyzstan,1
Laos,102
Latvia,5
Lebanon,4
Lesotho,35
Liberia,17
Libya,9
Liechtenstein,58
Lithuania,10
Luxembourg,5
Macao,209
Madagascar,22
Malawi,4
Malaysia,11
Maldives,11
Mali,1
Malta,8
Marshall Islands,414
Mauritania,19
Mauritius,27
Mexico,4
Micronesia (country),394
Moldova,2
Monaco,21
Mongolia,12
Montenegro,39
Montserrat,187
Morocco,4
Mozambique,6
Myanmar,3
Namibia,45
Nauru,0
Nepal,57
Netherlands,1
New Caledonia,52
New Zealand,24
Nicaragua,8
Niger,12
Nigeria,9
Niue,0
North Macedonia,8
Northern Cyprus,0
Norway,2
Oman,9
Pakistan,3
Palau,74
Palestine,8
Panama,1
Papua New Guinea,60
Paraguay,6
Peru,2
Philippines,27
Pitcairn,0
Poland,1
Portugal,1
Qatar,3
Romania,4
Russia,30
Rwanda,2
Saint Helena,422
Saint Kitts and Nevis,74
Saint Lucia,31
Saint Pierre and Miquelon,95
Saint Vincent and the Grenadines,34
Samoa,338
San Marino,27
Sao Tome and Principe,21
Saudi Arabia,8
Senegal,8
Serbia,3
Seychelles,79
Sierra Leone,14
Singapore,2
Sint Maarten (Dutch part),0
Slovakia,1
Slovenia,4
Solomon Islands,254
Somalia,14
South Africa,2
South Korea,4
South Sudan,19
Spain,15
Sri Lanka,43
Sudan,21
Suriname,46
Sweden,24
Switzerland,4
Syria,5
Taiwan,14
Tajikistan,154
Tanzania,440
Thailand,7
Timor,101
Togo,13
Tokelau,0
Tonga,95
Trinidad and Tobago,32
Tunisia,8
Turkey,1
Turkmenistan,0
Turks and Caicos Islands,54
Tuvalu,0
Uganda,5
Ukraine,9
United Arab Emirates,5
United Kingdom,2
United States,7
Uruguay,3
Uzbekistan,1
Vanuatu,188
Vatican,457
Venezuela,1
Vietnam,22
Wallis and Futuna,288
Yemen,18
Zambia,9
Zimbabwe,6
